2026-03-28 19:23:29 | DEBUG    | trading_bot | ← HTTP 200  body={"orderId":13002258204,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"hZrop8jCFzDkoJeKpeWAE7","price":"90000.00","avgPrice":"0.00","origQty":"0.010","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"update
2026-03-28 19:23:29 | INFO     | trading_bot | Order placed successfully – orderId=13002258204 status=NEW
2026-03-28 19:23:38 | DEBUG    | trading_bot | Building STOP_MARKET order params symbol=BTCUSDT side=SELL qty=0.01 stopPrice=58000.0
2026-03-28 19:23:38 | INFO     | trading_bot | Placing order: symbol=BTCUSDT side=SELL type=STOP_MARKET qty=0.01 price=N/A
2026-03-28 19:23:38 | DEBUG    | trading_bot | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': 0.01, 'stopPrice': 58000.0, 'closePosition': 'false', 'timestamp': 1774706018776, 'recvWindow': 5000, 'signature': '***'}
2026-03-28 19:23:38 | DEBUG    | trading_bot | ← HTTP 400  body={"code":-4120,"msg":"Order type not supported for this endpoint. Please use the Algo Order API endpoints instead."}
2026-03-28 19:23:38 | ERROR    | trading_bot | API error -4120: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-28 19:23:38 | ERROR    | trading_bot | Order failed – API returned error -4120: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-03-28 19:24:03 | DEBUG    | trading_bot | Building STOP_MARKET order params symbol=BTCUSDT side=SELL qty=0.01 stopPrice=58000.0
2026-03-28 19:24:03 | INFO     | trading_bot | Placing order: symbol=BTCUSDT side=SELL type=STOP_MARKET qty=0.01 price=N/A
2026-03-28 19:24:03 | DEBUG    | trading_bot | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': 0.01, 'stopPrice': 58000.0, 'closePosition': 'false', 'timestamp': 1774706043817, 'recvWindow': 5000, 'signature': '***'}
2026-03-28 19:24:04 | DEBUG    | trading_bot | ← HTTP 400  body={"code":-4120,"msg":"Order type not supported for this endpoint. Please use the Algo Order API endpoints instead."}
2026-03-28 19:24:04 | ERROR    | trading_bot | API error -4120: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
